127.0.0.1 - - [04/Feb/2021:22:23:21 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:23 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:23 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:23 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:24 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:24 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:24 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:25 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:25 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:25 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:25 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:37 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:37 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:13:58 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:13:59 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:15:49 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:15:49 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:16:06 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:16:06 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2112
